Year,Serie,Value
2010,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",22.50
2011,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",23.00
2012,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",24.10
2013,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",25.30
2014,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",27.40
2015,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",20.40
2016,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",24.60
2017,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",20.50
2018,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",25.00
2019,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",19.40
2010,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",22.50
2011,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",21.10
2012,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",21.20
2013,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",21.90
2014,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",26.50
2015,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",21.50
2016,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",24.30
2017,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",20.40
2018,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",24.50
2010,Proporción de personas con carencia material severa,1.50
2011,Proporción de personas con carencia material severa,1.50
2012,Proporción de personas con carencia material severa,2.30
2013,Proporción de personas con carencia material severa,3.90
2014,Proporción de personas con carencia material severa,3.50
2015,Proporción de personas con carencia material severa,3.50
2016,Proporción de personas con carencia material severa,7.50
2017,Proporción de personas con carencia material severa,2.20
2018,Proporción de personas con carencia material severa,3.60
2019,Proporción de personas con carencia material severa,0.90
2010,Proporción de personas viviendo en hogares con baja intensidad de trabajo,8.90
2011,Proporción de personas viviendo en hogares con baja intensidad de trabajo,13.80
2012,Proporción de personas viviendo en hogares con baja intensidad de trabajo,11.90
2013,Proporción de personas viviendo en hogares con baja intensidad de trabajo,11.10
2014,Proporción de personas viviendo en hogares con baja intensidad de trabajo,18.40
2015,Proporción de personas viviendo en hogares con baja intensidad de trabajo,15.50
2016,Proporción de personas viviendo en hogares con baja intensidad de trabajo,16.00
2017,Proporción de personas viviendo en hogares con baja intensidad de trabajo,9.30
2018,Proporción de personas viviendo en hogares con baja intensidad de trabajo,11.20
2019,Proporción de personas viviendo en hogares con baja intensidad de trabajo,14.13
